title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
New Mexico Hospitality Group - Janitorial Supply Contract,New Mexico Hospitality Group,"Santa Fe, NM",Hospitality,"$400,000 - $1,500,000",02/03/2026,"New Mexico hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.newmexicohospitalitygroup.com,Procurement Manager,purchasing@newmexicohotels.com,(NM) Hospitality Purchasing,true,open,11/05/2025
New Mexico Commercial Properties - Janitorial Supply Contract,New Mexico Commercial Properties,"Santa Fe, NM",Real Estate,"$600,000 - $2,000,000",02/03/2026,New Mexico commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.newmexicoproperties.com,Facilities Management,facilities@newmexicoproperties.com,(NM) Property Management,true,open,11/05/2025
New Mexico Airport Authority - Janitorial Supply Contract,New Mexico Airport Authority,"Santa Fe, NM",Airport,"$750,000 - $2,500,000",02/03/2026,"New Mexico airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.newmexicoairport.com,Facilities Procurement,procurement@newmexicoairport.com,(NM) Airport Operations,true,open,11/05/2025
New Mexico Correctional Facilities - Janitorial Supply Contract,New Mexico Correctional Facilities,"Santa Fe, NM",Corrections,"$900,000 - $3,000,000",02/03/2026,New Mexico Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.nm.gov,Facilities Procurement,procurement@corrections.nm.gov,(NM) DOC Procurement,true,open,11/05/2025
New Mexico Port Authority - Janitorial Supply Contract,New Mexico Port Authority,"Santa Fe, NM",Port,"$500,000 - $1,800,000",02/03/2026,"New Mexico port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.newmexicoport.com,Facilities Director,facilities@newmexicoport.com,(NM) Port Operations,true,open,11/05/2025
New Mexico Senior Living & Care - Janitorial Supply Contract,New Mexico Senior Living & Care,"Santa Fe, NM",Senior Care,"$600,000 - $2,000,000",02/03/2026,New Mexico assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.newmexicoseniorcare.com,Procurement Director,procurement@newmexicoseniorcare.com,(NM) Senior Care Purchasing,true,open,11/05/2025
New Mexico Retail Chain HQ - Janitorial Supply Contract,New Mexico Retail Chain HQ,"Santa Fe, NM",Retail,"$1,200,000 - $4,000,000",02/03/2026,New Mexico retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.newmexicoretail.com,Corporate Procurement,procurement@newmexicoretail.com,(NM) Retail Procurement,true,open,11/05/2025
New Mexico Manufacturing Plant - Janitorial Supply Contract,New Mexico Manufacturing Plant,"Santa Fe, NM",Manufacturing,"$800,000 - $2,500,000",02/03/2026,New Mexico manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.newmexicomanufacturing.com,Operations Manager,operations@newmexicomfg.com,(NM) Plant Operations,true,open,11/05/2025
New York Facilities Management Department - Janitorial Supply Contract,New York Facilities Management Department,"Albany, NY",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"New York Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ny.gov,Facilities Director,facilities@dgs.ny.gov,(NY) State Facilities Office,true,open,11/05/2025
New York Department of Education - Janitorial Supply Contract,New York Department of Education,"Albany, NY",Education,"$1,000,000 - $5,000,000",02/03/2026,"New York Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ny.gov,Procurement Services,procurement@education.ny.gov,(NY) DOE Procurement,true,open,11/05/2025
New York University System - Janitorial Supply Contract,New York University System,"Albany, NY",Education,"$500,000 - $2,000,000",02/03/2026,New York government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.newyork.gov,Procurement Office,procurement@ny.gov,(NY) State Procurement,true,open,11/05/2025
New York Healthcare Network - Janitorial Supply Contract,New York Healthcare Network,"Albany, NY",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"New York healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.newyorkhealthnetwork.org,Supply Chain Director,procurement@newyorkhealth.org,(NY) Healthcare Procurement,true,open,11/05/2025
New York Hospitality Group - Janitorial Supply Contract,New York Hospitality Group,"Albany, NY",Hospitality,"$400,000 - $1,500,000",02/03/2026,"New York hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.newyorkhospitalitygroup.com,Procurement Manager,purchasing@newyorkhotels.com,(NY) Hospitality Purchasing,true,open,11/05/2025
New York Commercial Properties - Janitorial Supply Contract,New York Commercial Properties,"Albany, NY",Real Estate,"$600,000 - $2,000,000",02/03/2026,New York commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.newyorkproperties.com,Facilities Management,facilities@newyorkproperties.com,(NY) Property Management,true,open,11/05/2025
New York Airport Authority - Janitorial Supply Contract,New York Airport Authority,"Albany, NY",Airport,"$750,000 - $2,500,000",02/03/2026,"New York airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.newyorkairport.com,Facilities Procurement,procurement@newyorkairport.com,(NY) Airport Operations,true,open,11/05/2025
New York Correctional Facilities - Janitorial Supply Contract,New York Correctional Facilities,"Albany, NY",Corrections,"$900,000 - $3,000,000",02/03/2026,New York Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ny.gov,Facilities Procurement,procurement@corrections.ny.gov,(NY) DOC Procurement,true,open,11/05/2025
New York Port Authority - Janitorial Supply Contract,New York Port Authority,"Albany, NY",Port,"$500,000 - $1,800,000",02/03/2026,"New York port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.newyorkport.com,Facilities Director,facilities@newyorkport.com,(NY) Port Operations,true,open,11/05/2025
New York Senior Living & Care - Janitorial Supply Contract,New York Senior Living & Care,"Albany, NY",Senior Care,"$600,000 - $2,000,000",02/03/2026,New York assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.newyorkseniorcare.com,Procurement Director,procurement@newyorkseniorcare.com,(NY) Senior Care Purchasing,true,open,11/05/2025
New York Retail Chain HQ - Janitorial Supply Contract,New York Retail Chain HQ,"Albany, NY",Retail,"$1,200,000 - $4,000,000",02/03/2026,New York retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.newyorkretail.com,Corporate Procurement,procurement@newyorkretail.com,(NY) Retail Procurement,true,open,11/05/2025
New York Manufacturing Plant - Janitorial Supply Contract,New York Manufacturing Plant,"Albany, NY",Manufacturing,"$800,000 - $2,500,000",02/03/2026,New York manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.newyorkmanufacturing.com,Operations Manager,operations@newyorkmfg.com,(NY) Plant Operations,true,open,11/05/2025
North Carolina Facilities Management Department - Janitorial Supply Contract,North Carolina Facilities Management Department,"Raleigh, NC",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"North Carolina Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.nc.gov,Facilities Director,facilities@dgs.nc.gov,(NC) State Facilities Office,true,open,11/05/2025
North Carolina Department of Education - Janitorial Supply Contract,North Carolina Department of Education,"Raleigh, NC",Education,"$1,000,000 - $5,000,000",02/03/2026,"North Carolina Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.nc.gov,Procurement Services,procurement@education.nc.gov,(NC) DOE Procurement,true,open,11/05/2025
North Carolina University System - Janitorial Supply Contract,North Carolina University System,"Raleigh, NC",Education,"$500,000 - $2,000,000",02/03/2026,North Carolina government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.northcarolina.gov,Procurement Office,procurement@nc.gov,(NC) State Procurement,true,open,11/05/2025
North Carolina Healthcare Network - Janitorial Supply Contract,North Carolina Healthcare Network,"Raleigh, NC",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"North Carolina healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.northcarolinahealthnetwork.org,Supply Chain Director,procurement@northcarolinahealth.org,(NC) Healthcare Procurement,true,open,11/05/2025
North Carolina Hospitality Group - Janitorial Supply Contract,North Carolina Hospitality Group,"Raleigh, NC",Hospitality,"$400,000 - $1,500,000",02/03/2026,"North Carolina hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.northcarolinahospitalitygroup.com,Procurement Manager,purchasing@northcarolinahotels.com,(NC) Hospitality Purchasing,true,open,11/05/2025
North Carolina Commercial Properties - Janitorial Supply Contract,North Carolina Commercial Properties,"Raleigh, NC",Real Estate,"$600,000 - $2,000,000",02/03/2026,North Carolina commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.northcarolinaproperties.com,Facilities Management,facilities@northcarolinaproperties.com,(NC) Property Management,true,open,11/05/2025
North Carolina Airport Authority - Janitorial Supply Contract,North Carolina Airport Authority,"Raleigh, NC",Airport,"$750,000 - $2,500,000",02/03/2026,"North Carolina airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.northcarolinaairport.com,Facilities Procurement,procurement@northcarolinaairport.com,(NC) Airport Operations,true,open,11/05/2025
North Carolina Correctional Facilities - Janitorial Supply Contract,North Carolina Correctional Facilities,"Raleigh, NC",Corrections,"$900,000 - $3,000,000",02/03/2026,North Carolina Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.nc.gov,Facilities Procurement,procurement@corrections.nc.gov,(NC) DOC Procurement,true,open,11/05/2025
North Carolina Port Authority - Janitorial Supply Contract,North Carolina Port Authority,"Raleigh, NC",Port,"$500,000 - $1,800,000",02/03/2026,"North Carolina port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.northcarolinaport.com,Facilities Director,facilities@northcarolinaport.com,(NC) Port Operations,true,open,11/05/2025
